Price,Open,High,Low,Vol.,Change %
267.29,270.97,271.26,260.97,-,-0.02
259.97,267.61,269.51,255.77,-,-0.03
273.45,261.06,274.79,257.91,-,0.05
267.38,273.7,273.94,260.81,-,-0.02
275.94,267.42,278.2,263.21,-,0.03
287.33,274.77,287.42,273.46,-,0.04
293.97,287.02,294.23,286.1,-,0.02
294.24,293.44,298.71,290.19,-,0
292.56,294.16,297.26,292.1,-,-0.01
288.18,292.45,293.14,286.51,-,-0.02
294.41,288.83,295.85,287.18,-,0.02
289.18,294.48,296.44,286.23,-,-0.02
287.55,290.59,291.73,285.47,-,-0.01
294.94,285.65,295.03,285.11,-,0.03
292.57,295.44,298.96,291.47,-,-0.01
304.59,293.76,306.28,293.76,-,0.04
296.33,304.97,307.34,293.54,-,-0.03
298.81,296.73,299.74,292.32,-,0.01
299.49,298.67,301.51,293.53,-,0
302.15,299.1,302.95,297.72,-,0.01
298.63,301.7,302.51,298.02,-,-0.01
301.74,299.5,303.31,297.06,-,0.01
299.12,301.37,302.81,294.22,-,-0.01
304.11,297.29,306.15,295.21,-,0.02
304.23,305.71,308.71,302.82,-,0
300.67,301.76,302.95,295.76,-,-0.01
301.07,299.26,301.68,293.02,-,0
323.76,302.33,324.21,302.33,-,0.08
321.82,324.67,328.25,319.86,-,-0.01
322.39,320.12,324.63,316.08,-,0
320.13,322.48,328.88,318.05,-,-0.01
321.69,322.27,324.11,314.06,-,0
298.11,321.07,323.67,297.73,-,-0.07
308.27,296.4,308.95,276.15,-,0.03
296.82,307,308.11,293.29,-,-0.04
305.75,301.44,306.76,299.88,-,0.03
309.24,305.62,316.6,302.83,-,0.01
300.70,310.49,313.52,298.55,-,-0.03
303.10,299.44,303.1,285.37,-,0.01
313.47,304.66,314.4,304.66,-,0.03
318.85,313.92,318.86,311.75,-,0.02
327.51,318.27,329.72,311.03,-,0.03
331.70,327.38,333.74,325.63,-,0.01
341.82,331.69,343.78,330.47,-,0.03
327.45,341.13,343.03,327.3,-,-0.04
342.42,326.69,343.2,325.2,-,0.05
341.36,342.54,343.35,335.21,-,0
343.89,342.02,348.18,336.39,-,0.01
327.31,343.87,344.11,326.99,-,-0.05
329.46,327.86,341.57,323.87,-,0.01
334.69,330.83,335.73,327.44,-,0.02
332.95,334.35,340.54,332.28,-,-0.01
304.38,329.95,329.95,303.87,-,-0.09
289.82,305.52,309.72,284.48,-,-0.05
295.78,293.18,296.44,275.91,-,0.02
295.41,295.84,296,284.36,-,0
267.87,294.23,299.4,266.67,-,-0.09
266.29,265.36,267.88,252.71,-,-0.01
282.14,268.37,283.82,268.37,-,0.06
292.78,283.25,293.5,276.39,-,0.04
303.07,292.59,306.05,291.81,-,0.04
300.08,302.28,302.46,289.85,-,-0.01
300.97,299.49,302.14,296.65,-,0
299.19,300.89,303.37,295.59,-,-0.01
307.05,299.96,307.65,296.45,-,0.03
301.87,307.09,308.51,300.22,-,-0.02
309.96,302.67,311.82,297.72,-,0.03
309.79,309.39,314.25,305.67,-,0
310.18,308.93,314.1,304.46,-,0
309.15,310.55,313.61,304.67,-,0
311.65,308.91,317.11,308.64,-,0.01
313.86,311.74,314.95,307.86,-,0.01
325.22,313.99,325.22,313.82,-,0.04
327.14,325.31,330.23,323.84,-,0.01
321.23,327.57,329.39,320.42,-,-0.02
321.93,320.39,327.63,319.58,-,0
315.71,324.42,330.26,315.1,-,-0.02
324.41,313.91,326.32,304.77,-,0.03
331.54,323.11,331.55,318.8,-,0.02
336.71,332.26,338.77,332.25,-,0.02
342.11,337.13,343.55,336.55,-,0.02
346.50,342.03,347.7,339.71,-,0.01
351.67,346.43,352.42,341.95,-,0.01
354.27,351.82,354.85,349.59,-,0.01
350.66,354.53,355.79,349.05,-,-0.01
352.67,350.01,354.46,348.57,-,0.01
355.39,352.58,356.92,351.47,-,0.01
350.32,356,360.59,350.32,-,-0.01
355.02,347.91,355.67,347.75,-,0.01
360.35,355.89,361.91,352.59,-,0.02
364.86,358.41,365.99,356.56,-,0.01
362.78,363.63,368.23,361.31,-,-0.01
355.82,364.02,365.37,351.95,-,-0.02
367.76,356.1,367.87,353.82,-,0.03
364.64,369.65,371.68,363.4,-,-0.01
350.25,365.74,365.83,349.9,-,-0.04
352.50,356.23,360.55,345.09,-,0.01
358.64,353.73,360.85,345.2,-,0.02
363.47,359.98,364.79,359.98,-,0.01
352.43,362.48,363.5,349.36,-,-0.03
367.64,353.96,369.25,353.55,-,0.04
363.53,366.99,368.71,362.8,-,-0.01
361.76,364,366.59,360.39,-,0
357.16,362.1,365.75,356.45,-,-0.01
374.33,360.65,375.32,359.83,-,0.05
380.48,374.69,381.43,372.68,-,0.02
378.26,379,380.61,375.58,-,-0.01
385.45,378.09,388.18,376.52,-,0.02
382.15,383.34,383.38,377.81,-,-0.01
386.62,381.59,387.97,380.46,-,0.01
390.75,387.75,390.81,385.7,-,0.01
391.00,390.82,393.54,386.44,-,0
388.74,389.91,392.85,385.77,-,-0.01
390.99,387.23,391.81,386.48,-,0.01
396.09,390.93,396.8,389.68,-,0.01
389.64,395.52,397.55,385.74,-,-0.02
394.47,385.92,395.55,384.54,-,0.01
392.10,394.55,397.82,390.56,-,-0.01
389.15,392.58,394.81,389.15,-,-0.01
396.54,390.33,397.84,390.29,-,0.02
413.22,400.53,414.05,400.37,-,0.04
421.36,414.18,421.68,414.06,-,0.02
421.30,421.69,423.15,418.38,-,0
416.46,421.86,426.47,409.61,-,-0.01
426.58,417.21,427.05,417.21,-,0.02
432.65,426.17,432.65,420.87,-,0.01
424.43,432.73,439.56,418.4,-,-0.02
421.88,420.42,426.37,412.47,-,-0.01
434.31,424.72,434.45,423.18,-,0.03
424.78,436.2,437.64,419.21,-,-0.02
425.69,426.65,427.02,419.42,-,0
442.49,426.62,442.88,425.86,-,0.04
451.03,443.39,454.47,441.44,-,0.02
449.06,451.72,456.87,443.15,-,0
444.63,449.57,449.6,436.43,-,-0.01
435.47,445.49,449.26,431.19,-,-0.02
434.98,439.05,443.5,432.49,-,0
437.41,434.6,443.19,431.8,-,0.01
450.90,437.86,452.17,433.63,-,0.03
446.88,448.74,451.49,443.92,-,-0.01
453.21,450.53,454.06,450.08,-,0.01
455.93,454.21,456.91,451.73,-,0.01
459.29,454.69,459.73,444.1,-,0.01
471.45,460.68,471.65,458.41,-,0.03
473.08,471.96,474.86,466.58,-,0
473.78,474.68,475.15,465.44,-,0
481.39,474.59,481.59,465.83,-,0.02
481.95,480.9,485.47,477.03,-,0
476.92,481.63,484,471.89,-,-0.01
484.36,474.95,485.31,473.38,-,0.02
498.17,485.11,498.3,484.73,-,0.03
486.96,498.84,500.14,479.42,-,-0.02
488.43,490.58,508.16,475.3,-,0
497.11,488.52,497.48,488.5,-,0.02
494.76,502.92,504.44,494.35,-,0
493.17,493.61,497.12,491.05,-,0
512.17,495.75,512.18,494.07,-,0.04
522.87,511.57,523.24,509.83,-,0.02
525.25,526.53,527.73,515.74,-,0
550.02,525.41,550.02,524.67,-,0.05
537.85,549.3,552.62,536.67,-,-0.02
518.48,529.96,541.43,497.2,-,-0.04
547.97,522.67,552.05,516.99,-,0.06
554.20,545.25,555.35,542.89,-,0.01
556.26,556.52,562.37,538.01,-,0
588.83,553.71,588.85,551.55,-,0.06
583.93,590.81,592.68,579.02,-,-0.01
542.93,576.4,577.64,542.83,-,-0.07
541.76,552,561.69,524.65,-,0
531.53,537.12,546.32,518.24,-,-0.02
546.62,535.58,553.65,533.21,-,0.03
565.79,550.53,573.68,545.96,-,0.04
557.11,568.6,570.59,536.82,-,-0.02
566.86,558.47,568.83,550.43,-,0.02
595.86,569.2,598.41,568.94,-,0.05
591.15,597.31,599.09,583.52,-,-0.01
596.47,594.74,599.62,586.88,-,0.01
614.55,593.23,615.21,591.67,-,0.03
621.12,615.46,629.47,613.22,-,0.01
641.81,621.71,642.42,620.94,-,0.03
638.66,636.89,655.57,633.31,-,0
619.01,633.04,633.04,609.05,-,-0.03
639.30,613.31,639.72,611.5,-,0.03
652.32,644.34,657.41,636.02,-,0.02
647.91,653.45,659.69,641.93,-,-0.01
629.35,647.71,664.45,625.03,-,-0.03
619.84,628.73,628.92,601.77,-,-0.02
630.78,619.81,638.37,619.04,-,0.02
622.87,630.33,636.65,617.27,-,-0.01
645.72,624.11,645.85,619.76,-,0.04
655.41,650.58,660.22,647.96,-,0.02
633.65,652.81,654.12,624.56,-,-0.03
642.81,636.65,649.57,630.72,-,0.01
630.74,640.09,642.37,628.16,-,-0.02
637.19,627.16,644.07,622.26,-,0.01
608.17,640.2,642.19,601.12,-,-0.05
576.03,603.21,607.4,554.69,-,-0.05
571.13,575.39,597.39,566.32,-,-0.01
550.21,574.1,579.42,540.47,-,-0.04
574.35,557.88,587.1,527.09,-,0.04
