Price,Open,High,Low,Vol.,Change %
1685.58,1660.69,1691.08,1643.12,-,0
1651.33,1666.12,1666.12,1634.95,-,-0.02
1695.24,1664.33,1695.24,1664.33,-,0.03
1629.67,1688.19,1688.19,1629.67,-,-0.04
1679.77,1648.97,1685.37,1648.97,-,0.03
1744.25,1677.15,1744.25,1677.15,-,0.04
1761.28,1744.74,1761.28,1744.74,-,0.01
1760.49,1762.77,1768.42,1756.71,-,0
1733.00,1776.06,1776.06,1733,-,-0.02
1695.86,1740.5,1740.5,1693,-,-0.02
1743.21,1716.01,1743.21,1716.01,-,0.03
1698.11,1744.74,1744.74,1695.15,-,-0.03
1697.48,1717.63,1717.63,1696.7,-,0
1726.47,1713.09,1726.47,1709.88,-,0.02
1700.35,1720.74,1729.53,1700.35,-,-0.02
1768.44,1729.3,1768.44,1728.16,-,0.04
1768.45,1774.09,1779.5,1746.19,-,0
1763.99,1768.95,1768.95,1727.48,-,0
1776.33,1753.91,1781.47,1745.66,-,0.01
1785.79,1783.85,1786.96,1779.14,-,0.01
1777.30,1762.4,1792.63,1762.4,-,0
1759.32,1782.1,1782.1,1759.32,-,-0.01
1748.46,1740.61,1763.08,1737.25,-,-0.01
1753.89,1737.77,1766.11,1737.77,-,0
1739.94,1765.05,1766.92,1739.94,-,-0.01
1718.75,1703.3,1718.75,1703.3,-,-0.01
1705.04,1711.28,1712.92,1679.07,-,-0.01
1787.81,1730.79,1787.81,1730.79,-,0.05
1743.25,1796.81,1796.81,1743.25,-,-0.02
1750.33,1727.72,1757.84,1727.72,-,0
1731.87,1743.46,1747.73,1731.59,-,-0.01
1744.37,1759.26,1759.26,1733.44,-,0.01
1625.54,1754.34,1754.34,1625.54,-,-0.07
1669.40,1569.68,1669.4,1549.29,-,0.03
1617.00,1655.87,1655.87,1601.62,-,-0.03
1664.32,1661.52,1664.32,1639.92,-,0.03
1654.49,1659.5,1688.06,1654.49,-,-0.01
1645.21,1669.71,1669.71,1644.5,-,-0.01
1654.81,1607.75,1654.81,1599.92,-,0.01
1712.27,1687.92,1712.27,1687.92,-,0.03
1734.35,1716.16,1734.37,1709.15,-,0.01
1808.50,1734.37,1808.5,1721.18,-,0.04
1802.22,1803.57,1819.37,1793,-,0
1830.29,1818.42,1840.27,1815.61,-,0.02
1749.55,1830.29,1830.29,1748.88,-,-0.04
1823.12,1749.54,1824.77,1745.08,-,0.04
1810.92,1823.12,1824.6,1796,-,-0.01
1839.60,1812.29,1842.32,1795.78,-,0.02
1767.28,1839.69,1839.69,1767.28,-,-0.04
1749.11,1767.29,1819.09,1747.39,-,-0.01
1792.57,1749.1,1798.15,1749.1,-,0.02
1777.62,1792.58,1821.54,1777.47,-,-0.01
1662.88,1778.1,1778.1,1660.31,-,-0.06
1631.14,1662.88,1704.34,1611.12,-,-0.02
1674.18,1641.96,1674.21,1576.22,-,0.03
1712.65,1674.16,1712.65,1628.81,-,0.02
1636.66,1712.65,1723.57,1630.55,-,-0.04
1627.01,1637.02,1638.02,1584.88,-,-0.01
1684.83,1627.88,1697.96,1627.88,-,0.04
1709.44,1684.83,1724.89,1652.9,-,0.01
1756.86,1709.71,1765.81,1698.15,-,0.03
1776.66,1756.96,1776.66,1727.39,-,0.01
1814.71,1776.65,1820.3,1769.77,-,0.02
1815.39,1821.15,1828.3,1801.33,-,0
1860.81,1815.42,1861.55,1806.78,-,0.03
1826.38,1861.2,1862.4,1819.73,-,-0.02
1844.81,1826.36,1857.8,1812.57,-,0.01
1809.02,1842.94,1857.05,1798.29,-,-0.02
1753.80,1809.04,1813.98,1740.48,-,-0.03
1757.10,1753.81,1767.83,1739.02,-,0
1756.62,1757.08,1785.54,1751.5,-,0
1775.61,1756.63,1784.38,1745.39,-,0.01
1836.19,1775.61,1836.21,1772.08,-,0.03
1826.31,1836.21,1839.79,1816.75,-,-0.01
1826.82,1826.37,1844.7,1822.14,-,0
1798.43,1826.97,1826.97,1788.36,-,-0.02
1768.26,1798.42,1839.35,1763.66,-,-0.02
1816.48,1768.28,1822.21,1724.28,-,0.03
1843.71,1816.87,1844.19,1790.72,-,0.02
1880.65,1843.73,1887.47,1843.73,-,0.02
1915.08,1880.64,1916.66,1880.64,-,0.02
1940.11,1915.07,1945.26,1906.41,-,0.01
1965.59,1940.06,1965.88,1920.79,-,0.01
1968.37,1965.97,1974.59,1960.31,-,0
1963.95,1968.38,1980.72,1949.95,-,0
1963.46,1963.96,1978.89,1953.28,-,0
1976.71,1963.75,1982.71,1953.59,-,0.01
1927.13,1976.7,1992.57,1927.13,-,-0.03
1980.41,1960.6,1990.55,1945.35,-,0.03
1992.07,1980.47,2010.94,1970.75,-,0.01
2003.56,1992.08,2009.29,1976.39,-,0.01
1995.78,2003.99,2007.16,1983.5,-,0
1986.11,1995.78,2014.08,1961.28,-,0
1991.96,1986.09,2000.96,1976.84,-,0
1988.15,1991.96,2013.4,1983.74,-,0
1933.87,1988.17,1995.73,1924.74,-,-0.03
1959.40,1933.85,1994.23,1924.93,-,0.01
1983.61,1959.39,1993.97,1918.74,-,0.01
2011.18,1983.59,2013.25,1983.59,-,0.01
1955.14,2011.4,2022.8,1942.86,-,-0.03
2037.35,1955.12,2037.39,1955.12,-,0.04
2045.66,2037.47,2069.36,2025.5,-,0
2060.27,2045.73,2069.84,2044.3,-,0.01
2032.36,2060.26,2078.3,2028.45,-,-0.01
2076.17,2032.48,2080.46,2032.48,-,0.02
2088.35,2076.15,2092.37,2062.61,-,0.01
2094.48,2088.34,2100.04,2076.19,-,0
2134.96,2094.46,2137.79,2084.15,-,0.02
2131.92,2134.99,2134.48,2107.18,-,0
2157.44,2131.95,2161.31,2124.44,-,0.01
2194.18,2157.48,2194.19,2157.48,-,0.02
2214.49,2194.19,2214.49,2193.71,-,0.01
2222.48,2214.75,2234.67,2197.33,-,0
2233.05,2222.59,2237.3,2209.53,-,0
2251.28,2233.17,2258.32,2221.75,-,0.01
2229.76,2251.33,2264.69,2218.07,-,-0.01
2250.10,2229.74,2257.47,2209.29,-,0.01
2237.86,2250.13,2266.63,2230.96,-,-0.01
2209.85,2238.03,2245.05,2207.92,-,-0.01
