Price,Open,High,Low,Vol.,Change %
383.40,390.6,391,376.2,-,-2.39%
376.70,383.9,386,370.7,-,-1.75%
398.30,378.7,400,374.4,-,5.73%
389.00,398.2,398.6,377.6,-,-2.33%
394.50,389.3,398.7,383,-,1.41%
409.50,392.1,409.5,391.2,-,3.80%
414.90,409.3,415.2,406.8,-,1.32%
413.10,413.7,418.2,409.5,-,-0.43%
415.10,413.3,420.2,412.9,-,0.48%
404.70,414.8,415.3,402.9,-,-2.51%
416.80,405.7,418.4,403.6,-,2.99%
411.60,416.8,421.2,407.8,-,-1.25%
411.10,413.9,415.1,407.6,-,-0.12%
424.20,408.3,425,407.8,-,3.19%
422.40,425.6,430.6,420.1,-,-0.42%
439.60,424.4,442.4,423.7,-,4.07%
427.00,440.7,445.1,422.2,-,-2.87%
428.00,428.6,430.7,418.2,-,0.23%
431.10,428,432.6,421.6,-,0.72%
435.60,430.7,436.8,428.8,-,1.04%
428.60,435.5,435.8,427.9,-,-1.61%
435.90,431.2,436.6,428.7,-,1.70%
435.30,435.3,438,424.9,-,-0.14%
437.00,432.2,440.1,429.7,-,0.39%
434.80,439.7,443.5,432.3,-,-0.50%
430.10,429.1,434.3,423.1,-,-1.08%
428.10,425.5,428.7,412.1,-,-0.47%
458.50,431.2,459,431.2,-,7.10%
455.10,458.2,465.6,454.2,-,-0.74%
450.40,449.2,453.6,440.8,-,-1.03%
448.90,449.7,462,444.5,-,-0.33%
444.00,451.6,452.9,434,-,-1.09%
410.10,443.1,446.6,409.6,-,-7.64%
425.50,377.5,426.7,372.5,-,3.76%
406.90,423.2,424.6,403.9,-,-4.37%
418.00,414.6,421.3,410,-,2.73%
424.00,416.8,435.2,412.9,-,1.44%
409.30,426.6,428.7,406.4,-,-3.47%
420.40,407.4,420.4,392,-,2.71%
434.40,423.8,436.6,422.5,-,3.33%
440.40,435.5,440.5,429.4,-,1.38%
449.80,439,452.6,432.2,-,2.13%
463.50,454.4,466.2,452.7,-,3.05%
478.50,463.7,481.2,462.4,-,3.24%
455.80,474.8,476.2,455.6,-,-4.74%
480.00,452.8,480.6,451.4,-,5.31%
478.20,480.4,482.8,470.2,-,-0.37%
488.00,479.4,490.9,475.8,-,2.05%
465.30,488.1,488.6,464.9,-,-4.65%
469.90,466.4,484.7,460.1,-,0.99%
474.90,472.4,476.4,468.2,-,1.06%
471.20,473.7,481.6,469.6,-,-0.78%
431.90,458.9,458.9,431.2,-,-8.34%
412.20,432.7,437.5,405.9,-,-4.56%
421.90,419.6,424.2,394.8,-,2.35%
418.60,421.1,424.1,404.6,-,-0.78%
385.20,416.5,422.2,383.9,-,-7.98%
387.70,376.9,389.3,364.9,-,0.65%
416.70,396.6,417.6,394.4,-,7.48%
423.30,420.4,426.8,405.7,-,1.58%
436.50,421.9,439.3,421.7,-,3.12%
436.90,433.9,437,420.3,-,0.09%
440.90,435.4,442.5,432.7,-,0.92%
438.10,440.4,443.7,432.8,-,-0.64%
447.70,439,450.8,434.8,-,2.19%
441.10,447.4,448.6,438.9,-,-1.47%
455.90,443.7,458.7,438.1,-,3.36%
450.80,454,459.6,446.9,-,-1.12%
450.30,449.5,453.7,440.7,-,-0.11%
444.10,448.9,451.6,437.7,-,-1.38%
441.50,441.4,448.7,439.3,-,-0.59%
445.00,443,449.9,435.8,-,0.79%
463.10,444.9,463.1,442.9,-,4.07%
460.70,464.7,466.1,458.2,-,-0.52%
450.90,462,466.2,449.9,-,-2.13%
445.80,448.3,453.9,443.8,-,-1.13%
439.80,451.9,460,438.4,-,-1.35%
454.70,436,457,424,-,3.39%
461.50,452.2,461.6,446.4,-,1.50%
467.40,463.4,472.6,463.2,-,1.28%
474.30,468.2,476.5,467.2,-,1.48%
478.00,473.6,480,471.3,-,0.78%
486.60,477.6,488.1,473.6,-,1.80%
496.00,486.4,496.3,483.9,-,1.93%
495.30,497.4,500.9,492.6,-,-0.14%
497.10,494.7,499.8,491.1,-,0.36%
505.50,497.1,508.1,495.5,-,1.69%
497.30,507.4,515.2,497.3,-,-1.62%
505.00,492.5,505.8,492.4,-,1.55%
515.90,507.6,518.1,502.3,-,2.16%
516.40,511.3,520.4,509,-,0.10%
516.20,516,526,514.6,-,-0.04%
506.40,516.3,520.5,500.7,-,-1.90%
520.40,505.9,520.5,503.8,-,2.76%
514.90,524.1,526,513,-,-1.06%
491.80,516.2,517.1,490.4,-,-4.49%
490.10,500.6,509.6,483.2,-,-0.35%
495.60,490.9,499.6,477,-,1.12%
502.10,497.8,503.9,497.7,-,1.31%
486.40,501.6,506.2,484,-,-3.13%
507.60,487.9,509.1,486.8,-,4.36%
495.60,505.2,510.1,495,-,-2.36%
493.20,495.7,499.3,491.1,-,-0.48%
487.70,493.8,499.4,486.8,-,-1.12%
512.40,492.1,514,491.2,-,5.06%
522.00,513.6,523,512,-,1.87%
522.70,521.2,525.9,517.2,-,0.13%
535.00,522.4,537.5,521.6,-,2.35%
531.90,532.1,533.8,525.7,-,-0.58%
540.70,531.5,541.5,529.9,-,1.65%
546.00,542.2,547.7,538.1,-,0.98%
545.60,547.3,552.2,540.5,-,-0.07%
546.00,544.3,551.1,543.1,-,0.07%
549.50,545.3,550.5,543.2,-,0.64%
557.00,550.1,558,549.2,-,1.36%
549.70,556.6,561.6,543,-,-1.31%
556.60,544.3,559,543.2,-,1.26%
554.80,557.3,561.9,552.1,-,-0.32%
552.00,555.4,559.2,552,-,-0.50%
561.80,554.1,563.1,554.1,-,1.78%
585.50,567.7,587.2,566.9,-,4.22%
597.70,586.6,598,586.4,-,2.08%
607.50,599.5,607.8,598.1,-,1.64%
607.70,608.3,617.6,592.6,-,0.03%
620.60,610.1,623.2,609.3,-,2.12%
624.40,620.7,624.4,611.6,-,0.61%
611.60,625.1,634,601.2,-,-2.05%
603.50,605.7,613.6,592.4,-,-1.32%
630.00,609.8,630.3,609.7,-,4.39%
608.40,633.2,636.1,601.2,-,-3.43%
610.50,612.2,612.4,600.9,-,0.35%
638.80,611.8,639.2,611.3,-,4.64%
654.00,640.3,658.3,635.4,-,2.38%
659.60,655.4,671.1,645.6,-,0.86%
653.00,662,662,640.9,-,-1.00%
633.80,654.3,660.9,626.7,-,-2.94%
625.40,638.3,640.6,621.8,-,-1.33%
628.00,626,638.2,623.8,-,0.42%
647.00,628.4,649.1,618.7,-,3.03%
645.00,644.1,652.1,637.1,-,-0.31%
655.70,650.5,661.2,650.4,-,1.66%
656.80,659.1,662.8,652,-,0.17%
651.10,654.1,654.2,636,-,-0.87%
671.90,653.1,672.2,651.1,-,3.19%
676.50,673.1,678.4,667.4,-,0.68%
670.40,679.8,680.2,665,-,-0.90%
670.50,671.5,671.6,654.8,-,0.01%
675.50,670.7,679.4,665.5,-,0.75%
665.90,676.9,681.2,660.7,-,-1.42%
680.70,664.4,683.5,658.8,-,2.22%
694.70,681.5,694.7,679.3,-,2.06%
667.60,694.6,695.9,660.1,-,-3.90%
668.40,673.7,676.3,653.1,-,0.12%
685.60,669,685.7,669,-,2.57%
690.90,693.4,698.1,688.9,-,0.77%
684.80,688.8,691.2,683.6,-,-0.88%
719.70,690.2,719.7,690.1,-,5.10%
733.10,720.3,733.6,718,-,1.86%
735.40,740.5,743.6,726.5,-,0.31%
777.90,734.6,777.9,732.7,-,5.78%
757.80,776.8,781.1,756.5,-,-2.58%
718.40,745.5,764.2,690.2,-,-5.20%
764.90,726.1,772.5,715.5,-,6.47%
782.10,762,782.2,761.8,-,2.25%
779.10,786.1,789.2,753.3,-,-0.38%
827.90,776.2,827.9,772.9,-,6.26%
821.90,831.2,833.4,812.8,-,-0.72%
763.90,812,812.5,763.5,-,-7.06%
757.60,778.4,787.3,734.9,-,-0.82%
737.60,750.5,758.2,720.2,-,-2.64%
752.20,742.8,764.5,740.5,-,1.98%
773.20,756.2,785.6,748.8,-,2.79%
763.80,776.5,778.9,732.3,-,-1.22%
769.90,765.5,772.9,751.1,-,0.80%
792.30,773.7,795.1,772.9,-,2.91%
780.20,794.1,798.9,777,-,-1.53%
793.20,785.9,795.6,775.6,-,1.67%
815.50,790.1,816.7,786.8,-,2.81%
833.90,818.4,839.9,818.2,-,2.26%
865.20,835.1,866.4,835.1,-,3.75%
856.10,858.1,875.1,847.6,-,-1.05%
825.20,845.8,845.8,811.1,-,-3.61%
850.70,815.2,851.4,812.4,-,3.09%
857.50,858.4,865.6,842.8,-,0.80%
844.10,858.2,863.9,840.6,-,-1.56%
824.70,843.2,862.9,819.2,-,-2.30%
808.40,823.6,823.9,791.3,-,-1.98%
810.70,808.3,826.5,807,-,0.28%
786.30,809,813.6,778.9,-,-3.01%
812.00,789.7,812.3,784.3,-,3.27%
821.40,819.1,828.5,818.1,-,1.16%
786.30,816.9,817.3,776.7,-,-4.27%
800.10,788.3,806.7,778.2,-,1.76%
793.20,796.1,806.2,781.3,-,-0.86%
799.90,784.6,807.4,779.4,-,0.84%
758.10,804.3,806.9,750.6,-,-5.23%
729.00,749.7,759.6,697.2,-,-3.84%
711.90,724.9,752.2,710.3,-,-2.35%
687.50,719.3,725.1,675.5,-,-3.43%
724.70,697.6,741.8,658.1,-,5.41%
709.50,724.1,740,702.6,-,-2.10%
697.90,707,707.8,686.9,-,-1.63%
663.30,693.3,694.5,646.9,-,-4.96%
709.60,671.7,710.2,669.5,-,6.98%
687.30,728.3,730.2,680.4,-,-3.14%
690.50,686.5,716.9,679.5,-,0.47%
619.00,686.8,687,614.6,-,-10.35%
651.10,613.5,661.1,608.1,-,5.19%
672.30,658.8,675.3,638.7,-,3.26%
